"","Order_all","Family_all","Genus_all","Species_all","Breeding_system","IMPUTED_Compatibility","Autonomous_selfing_level","Autonomous_selfing_level_fruit_set","Flower_morphology","Flower_symmetry","Flowers_per_plant","Flowers_per_inflorescence","Floral_unit_width","Corolla_diameter_mean","Corolla_length_mean","STYLE_IMPUTED","OVULES_IMPUTED","life_form","lifespan","IMPUTED_plant_height_mean_m"
"Apios tuberosa","Fabales","Fabaceae","Apios","Apios americana","Hermaphrodite","partially_self_compatible","none",0,"Open","zygomorphic",500,35,50,14.1,11.5,1.1,11.5,"herb","Perennial",3
"Apocynum cannabinum","Gentianales","Apocynaceae","Apocynum","Apocynum cannabinum","Hermaphrodite","self_incompatible","none",0,"Campanulate","actinomorphic",800,80,25,2.5,3.1,0.1,328,"herb","Perennial",1.25
"Aquilegia canadensis","Ranunculales","Ranunculaceae","Aquilegia","Aquilegia canadensis","Hermaphrodite","self_compatible","none",48,"Open","actinomorphic",15,1,24.1,24.1,21.1,12.1,118.6,"herb","Perennial",0.525
"Arabis alpina","Brassicales","Brassicaceae","Arabis","Arabis alpina","Hermaphrodite","self_compatible","high",88,"Tube","actinomorphic",15,15,40,9.1,7.5,0.3,2.5,"herb","Perennial",0.2
"Arachis microsperma","Fabales","Fabaceae","Arachis","Arachis microsperma","Hermaphrodite","self_compatible","low",17.10285,"Papilionaceous","zygomorphic",5,1,16,16,61.5,40,4,"herb","Perennial",1.04451666666667
"Aralia cordata","Apiales","Araliaceae","Aralia","Aralia cordata","Hermaphrodite","self_compatible","low",15.67415,"Open","actinomorphic",5500,1200,10,2,1,1.1,5,"herb","Perennial",0.9
"Aralta elata","Apiales","Araliaceae","Aralia","Aralia elata","Monoecious","monoecious","none",0.6181,"Open","actinomorphic",15000,2000,10,1.5,1,1.1,5,"tree","Perennial",5
"Arctium lappa","Asterales","Asteraceae","Arctium","Arctium lappa","Hermaphrodite","self_compatible","medium",50.5,"Capitulum","actinomorphic",100,3,28.5,28.5,18.39175,20,40,"herb","Short lived",1.6
"Arctium minus","Asterales","Asteraceae","Arctium","Arctium minus","Hermaphrodite","self_compatible","medium",50.5,"Capitulum","actinomorphic",25,8,60,60,40,15,30,"herb","Short lived",1
"Arctotheca calendula","Asterales","Asteraceae","Arctotheca","Arctotheca calendula","Hermaphrodite","self_compatible","low",21.2326,"Capitulum","actinomorphic",20,1,37.5,37.5,4.1,0.5,60,"herb","Short lived",0.15
"Ardisia pusilla","Ericales","Primulaceae","Ardisia","Ardisia pusilla","Hermaphrodite","self_compatible","low",17.967825,"Open","actinomorphic",10,3,15,3.5,1,2.5,5.5,"shrub","Perennial",0.23
"Ardisia quinquegona","Ericales","Primulaceae","Ardisia","Ardisia quinquegona","Hermaphrodite","self_compatible","low",11.7095625,"Open","actinomorphic",5000,75,15,3,1.5,2.5,5,"shrub","Perennial",3.1
"Ardisia sieboldii","Ericales","Primulaceae","Ardisia","Ardisia sieboldii","Hermaphrodite","self_compatible","low",0.05,"Open","actinomorphic",50000,100,100,15,2,10.5,6,"tree","Perennial",8
"Arenaria pseudofrigida","Caryophyllales","Caryophyllaceae","Arenaria","Arenaria pseudofrigida","Hermaphrodite","self_compatible","low",16.3636,"Open","actinomorphic",50,1,30,10.1,7,3,15,"shrub","Perennial",0.035
"Arenaria yunnanensis","Caryophyllales","Caryophyllaceae","Arenaria","Arenaria yunnanensis","Hermaphrodite","self_compatible","low",15.46545,"Open","actinomorphic",50,1,16,16,6.87961666666667,6.5,15,"herb","Perennial",0.225
