"","Breeding_system","IMPUTED_Compatibility","Autonomous_selfing_level","Autonomous_selfing_level_fruit_set","Flower_morphology","Flower_symmetry","Flowers_per_plant","Flowers_per_inflorescence","Floral_unit_width","Corolla_diameter_mean","Corolla_length_mean","STYLE_IMPUTED","OVULES_IMPUTED","life_form","lifespan","IMPUTED_plant_height_mean_m","Clusters"
"Mimosa hexandra","Hermaphrodite","self_compatible","low",-0.197082495336257,"Tube","actinomorphic",-0.050707466978522,-0.0706898615014027,0.186090770991147,-0.710274868136456,-0.515726053783617,0.106344926912776,-0.123550449934117,"shrub","Perennial",-0.00597173050482375,2
"Mimosa sensibilis","Hermaphrodite","self_compatible","low",-0.188559454937276,"Brush","actinomorphic",-0.1192545580184,-0.107012350681825,0.186090770991147,-0.710274868136456,-0.515726053783617,0.106344926912776,-0.123550449934117,"shrub","Perennial",-0.217932587001883,2
"Mimulus alatus","Hermaphrodite","self_compatible","low",-0.22580945845122,"Tube","zygomorphic",-0.232357258234199,-0.162706834091806,0.186090770991147,-0.222175088940022,0.673278046728132,0.0513925479676102,0.0322568749074062,"herb","Perennial",-0.359239824666589,5
"Mimulus moschatus","Hermaphrodite","self_compatible","high",2.5957542496546,"Tube","zygomorphic",-0.233271219448064,-0.162706834091806,0.186090770991147,0.070684778577838,0.528277546665723,0.216249684803109,0.0522347432716346,"herb","Perennial",-0.514677786097765,1
"Mimulus ringens","Hermaphrodite","self_compatible","high",2.5957542496546,"Tube","zygomorphic",-0.232357258234199,-0.165128333370501,0.409061548264474,-0.270985066859666,0.238276546540907,0.710821095309605,3.59274075104885,"herb","Perennial",-0.401631995966,1
"Mimusops erythroxylon","Hermaphrodite","partially_self_compatible","low",-0.360348561501444,"Tube","actinomorphic",0.46417258285235,-0.155442336255722,-0.0368800062821798,-0.0269351772614488,-0.05172445358391,-0.168416967813055,-0.12324042313834,"tree","Perennial",3.95063092410694,2
"Mimusops sechellarum","Hermaphrodite","self_incompatible","none",-0.712461093035608,"Tube","actinomorphic",1.28834967442184,-0.131227343468773,-0.0368800062821798,-0.0269351772614488,-0.167724853633837,-0.278321725703387,-0.12324042313834,"tree","Perennial",3.95063092410694,3
"Mirabilis jalapa","Hermaphrodite","self_compatible","medium",1.43036020847964,"Tube","actinomorphic",-0.227787452164874,-0.131227343468773,-0.148365394918843,0.949264381131419,1.97828254728981,3.40348766362275,-0.126960744687668,"herb","Perennial",-0.429893443498942,1
"Mirabilis ovata","Hermaphrodite","self_compatible","low",-0.293725615702403,"Campanulate","actinomorphic",-0.227787452164874,-0.160285334813111,-0.482821560828834,-0.270985066859666,-0.05172445358391,1.26034488476127,-0.126960744687668,"herb","Perennial",-0.429893443498942,2
"Molinaea arborea","Monoecious","monoecious","none",-0.712461093035608,"Open","actinomorphic",1.33454247102456,0.195675059155028,-0.0368800062821798,-0.490629967498061,-0.312725353696245,-0.662988378319551,-0.125720637504558,"tree","Perennial",2.25494407213047,4
"Molinaea macrantha","Monoecious","monoecious","none",-0.712461093035608,"Open","actinomorphic",-0.176377133884965,-0.0706898615014027,-0.0368800062821798,-0.490629967498061,-0.312725353696245,-0.662988378319551,-0.125720637504558,"shrub","Perennial",2.25494407213047,4
"Mollugo flavescens","Hermaphrodite","self_compatible","high",2.5957542496546,"Campanulate","actinomorphic",-0.222075194578218,-0.119119847075299,2.41579854372442,0.759881666803203,-0.515726053783617,-0.38822648359372,-0.108979190532582,"herb","Short lived",-0.500547062331295,1
"Mollugo snodgrassii","Hermaphrodite","self_compatible","high",2.5957542496546,"Open","actinomorphic",-0.232357258234199,-0.162706834091806,-0.750386493556826,-0.368605022698953,-0.515726053783617,-0.498131241484052,-0.108979190532582,"herb","Perennial",-0.500547062331295,1
"Mollugo verticillata","Hermaphrodite","self_compatible","high",2.5957542496546,"Open","actinomorphic",-0.229501129440871,-0.094904854288351,-0.482821560828834,-0.539439945417705,-0.544726153796099,-0.673978854108584,-0.108979190532582,"herb","Short lived",-0.528808509864236,1
"Momordica charantia","Monoecious","monoecious","none",-0.712461093035608,"Open","actinomorphic",-0.232357258234199,-0.165128333370501,-0.215256628100841,0.802834447372489,-0.341725453708727,-0.443178862538886,-0.0978182258845977,"vine","Short lived",0.135335507159882,4
"Monarda bradburiana","Hermaphrodite","self_compatible","low",-0.299520631555536,"Tube","zygomorphic",-0.231900277627267,-0.133648842747468,0.743517714174465,0.705214491533202,1.10827954691536,2.57920197944526,-0.125100583913004,"herb","Perennial",-0.444024167265412,5
"Montia australasica","Hermaphrodite","self_compatible","low",-0.170760880460041,"Open","actinomorphic",-0.231786032475534,-0.165128333370501,-0.728089415829493,-0.319795044779309,-0.370725553721208,-0.498131241484052,-0.124790557117226,"herb","Perennial",-0.528808509864236,2
